,"Type","Date","Num","Name","Memo","Split","Amount","Balance"
"2100 · Credit Card",,,,,,,,1587.20
"2118 · PC Finacial MasterCard",,,,,,,,1587.20
,"General Journal","4/19/2022","8904",,,"6550 · Office Supplies",15.74,1602.94
,"General Journal","4/19/2022","8906",,,"6550 · Office Supplies",6.29,1609.23
,"General Journal","4/21/2022","8917",,,"1005 · Simiplii PC FIANCIAL CHEQUE",-1587.20,22.03
,"General Journal","4/21/2022","8918",,,"6019 · Parking",2.00,24.03
,"General Journal","4/21/2022","8919",,,"6403 · T & T",13.68,37.71
,"General Journal","4/21/2022","8920",,,"6401 · Super Store",56.30,94.01
,"General Journal","4/21/2022","8921",,,"6403 · T & T",15.50,109.51
,"General Journal","4/21/2022","9026",,,"6402 · Walmart",13.72,123.23
,"General Journal","4/25/2022","8923",,,"40501 · HostDime hosting",163.03,286.26
,"General Journal","4/25/2022","8925",,,"6550 · Office Supplies",11.54,297.80
,"General Journal","4/25/2022","9027",,,"6550 · Office Supplies",18.94,316.74
,"General Journal","4/29/2022","8927",,,"6270 · Professional Fees",22.39,339.13
,"General Journal","4/29/2022","8928",,,"6370 · Meals",82.64,421.77
,"General Journal","4/29/2022","8929",,,"6402 · Walmart",38.55,460.32
,"General Journal","4/29/2022","8930",,,"6409 · Costco",47.70,508.02
,"General Journal","4/29/2022","8931",,,"6404 · Rice Word",33.36,541.38
,"General Journal","4/29/2022","8932",,,"6401 · Super Store",20.20,561.58
,"General Journal","4/29/2022","8933",,,"6403 · T & T",24.68,586.26
,"General Journal","4/30/2022","8934",,,"6270 · Professional Fees",11.19,597.45
,"General Journal","4/30/2022","8935",,,"6550 · Office Supplies",291.58,889.03
,"General Journal","5/1/2022","8937",,,"6550 · Office Supplies",5.40,894.43
,"General Journal","5/1/2022","8938",,,"6550 · Office Supplies",3.50,897.93
,"General Journal","5/1/2022","8939",,,"6550 · Office Supplies",51.94,949.87
,"General Journal","5/1/2022","8940",,,"6550 · Office Supplies",7.86,957.73
,"General Journal","5/1/2022","8941",,,"6550 · Office Supplies",7.34,965.07
,"General Journal","5/1/2022","8942",,,"6550 · Office Supplies",7.86,972.93
,"General Journal","5/3/2022","8946",,,"6550 · Office Supplies",7.55,980.48
,"General Journal","5/3/2022","8947",,,"6550 · Office Supplies",7.44,987.92
,"General Journal","5/3/2022","9028",,,"6550 · Office Supplies",7.34,995.26
